This file was generated by export.m on 31-May-2016 14:53:10
while on branch 'marius' at commit 5493fd1d0.

inpath: C:\Data\Marius\2015\150423\frame20x_Ph_chipI_chan1-1.5h.BTF
dimensions: 1um = 3.099px (20.0x) and 1sec = 20.0frames.
trackParams:
    maxdisp: 11
        mem: 0
        dim: 2
       good: 10
      quiet: 1

filterPreTrack:
    Area: [24.9699 149.8193]

filterPostTrack:
          length: [30 400]
    displacement: [15.4950 Inf]


======================================================================
x	y	time	index	isturn
719	1026.8	815	353	0
715.14	1026.4	816	353	0
711.35	1025.7	817	353	0
707.52	1024.7	818	353	0
704.9	1023.1	819	353	0
702.24	1021.2	820	353	0
699.9	1020.3	821	353	0
697.66	1019.3	822	353	0
695.5	1018.5	823	353	0
693.63	1018.4	824	353	0
690.8	1016.9	825	353	0
688.65	1015.7	826	353	0
686.48	1014.6	827	353	0
683.5	1013.3	828	353	0
680.5	1013.7	829	353	0
678.23	1014.4	830	353	0
675.33	1014.9	831	353	0
672.83	1015.2	832	353	0
670.33	1016.7	833	353	0
667.04	1017.3	834	353	0
664	1017.2	835	353	0
661	1017.8	836	353	0
658.33	1017.9	837	353	0
655.8	1018.1	838	353	0
652.63	1019	839	353	0
650.33	1018.9	840	353	0
647.2	1019.9	841	353	0
644.86	1020	842	353	0
642	1019.6	843	353	0
638.67	1019.9	844	353	0
635.3	1019.8	845	353	1
637	1019.5	846	353	0
642.5	1019.5	847	353	0
648.66	1019.2	848	353	0
654	1019.5	849	353	0
659.17	1020.9	850	353	0
663.17	1020.1	851	353	0
664.81	1020.2	852	353	0
669.07	1020.1	853	353	0
673.5	1019	854	353	0
680	1017.4	855	353	0
683.82	1016.1	856	353	1
683.03	1016.4	857	353	0
678.91	1016.8	858	353	0
675.18	1017.4	859	353	0
670.73	1017.6	860	353	0
665.88	1017.8	861	353	0
662.22	1017.3	862	353	0
658.67	1016.9	863	353	0
655.67	1016.9	864	353	0
654	1016	865	353	0
652.3	1014.9	866	353	0
649.67	1013.9	867	353	0
647.48	1012.6	868	353	0
644.67	1011.9	869	353	0
642	1010.5	870	353	0
639.65	1009.7	871	353	0
637.17	1008.8	872	353	0
635.03	1008.2	873	353	0
632.03	1007.8	874	353	0
630	1007.3	875	353	0
627.86	1006.1	876	353	0
625.24	1005.6	877	353	0
622	1004.6	878	353	0
619.24	1002.4	879	353	0
616.92	1002	880	353	0
614	1001.7	881	353	0
611	1001.3	882	353	0
608	1000.7	883	353	0
605.29	999.5	884	353	0
602.29	999.5	885	353	0
599.14	998.61	886	353	0
596	997.74	887	353	1
596.87	999.29	888	353	1
602.7	1002.4	889	353	0
608.16	1005.4	890	353	1
608.85	1005.3	891	353	1
605.4	1003.5	892	353	0
602.29	1002.5	893	353	0
599.61	1001.5	894	353	1
598.63	1001.4	895	353	1
603.38	1004.1	896	353	0
607.5	1006.5	897	353	0
611.26	1007.6	898	353	0
613	1008.5	899	353	0
616.26	1008.6	900	353	0
621	1010	901	353	0
626	1012.5	902	353	0
629.97	1014.8	903	353	0
633.49	1018.1	904	353	0
637.39	1021.2	905	353	0
639.5	1023.5	906	353	0
642.03	1025	907	353	1
642.5	1025	908	353	1
643	1025.5	909	353	1
642.5	1025.5	910	353	1
643.29	1025.5	911	353	1
643.26	1025.4	912	353	1
642.03	1024.8	913	353	0
639.39	1022.8	914	353	0
635.69	1020.1	915	353	0
632	1017.5	916	353	0
628.89	1014.7	917	353	0
625.62	1011.9	918	353	0
621.97	1009.1	919	353	0
618.69	1006.4	920	353	0
614.97	1004.1	921	353	0
611.29	1001.7	922	353	0
606.23	1000.4	923	353	0
604	998.09	924	353	0
601.5	997.21	925	353	0
598.5	996	926	353	0
595.5	995	927	353	0
592.5	995	928	353	0
590	994	929	353	0
587.67	992.88	930	353	0
585.86	992	931	353	0
583.5	991	932	353	0
582.15	990.7	933	353	0
579.5	990	934	353	0
576.35	989.35	935	353	0
573.5	987.5	936	353	0
571.89	986.48	937	353	1
573.52	987.41	938	353	0
577.58	989.23	939	353	0
583	992.59	940	353	0
588.19	996.19	941	353	0
594.19	999.19	942	353	0
598.8	1002.4	943	353	0
602.12	1004	944	353	0
605.78	1005.9	945	353	0
607.3	1006.2	946	353	1
602.33	1003.8	947	353	0
598.67	1001.7	948	353	0
596	1000	949	353	0
593.13	998.52	950	353	0
591.33	997.12	951	353	0
588.33	995.12	952	353	0
584.67	993.88	953	353	0
581.5	993	954	353	0
579.35	992.35	955	353	0
577	991.5	956	353	0
574.5	991.5	957	353	0
572.03	990.21	958	353	0
569.36	989.11	959	353	0
566.24	988.16	960	353	0
563.39	987.3	961	353	0
560.5	986.62	962	353	0
557.72	985.16	963	353	0
555	984.16	964	353	0
552	983.16	965	353	0
548.62	982.38	966	353	0
546.24	981.65	967	353	0
543.53	981.05	968	353	0
540.92	979.77	969	353	0
538.14	979.21	970	353	0
535.14	978.21	971	353	0
532.14	976.21	972	353	0
530.19	975.25	973	353	0
529.15	972.2	974	353	0
525.75	970.7	975	353	0
523.09	969.05	976	353	0
520.27	967	977	353	0
519.25	964.7	978	353	0
518	963.35	979	353	0
515.93	961.86	980	353	0
514.16	959	981	353	0
512.84	956	982	353	0
510.96	953.13	983	353	0
509.89	950.86	984	353	1
508.45	950.2	985	353	1
510.75	953.9	986	353	0
514.18	958.41	987	353	0
515	964	988	353	0
518.64	971	989	353	0
522	977	990	353	0
526.09	981.05	991	353	0
528.64	986	992	353	0
532.5	992.5	993	353	0
537.18	997.35	994	353	0
540.43	1002	995	353	0
544.13	1006	996	353	0
548.3	1009.7	997	353	0
553.41	1014	998	353	0
558.24	1017.9	999	353	0
563.28	1020.9	1000	353	0
568.29	1023.9	1001	353	0
573.09	1027.2	1002	353	0
577.92	1031.7	1003	353	0
580.44	1034.2	1004	353	1
582	1032.4	1005	353	1
579.1	1031.7	1006	353	0
575.41	1029.3	1007	353	0
571.23	1028.8	1008	353	0
568.24	1028.2	1009	353	0
564.33	1027.5	1010	353	0
561.83	1027	1011	353	0
559.72	1025.9	1012	353	0
556.5	1024.3	1013	353	0
554.09	1022	1014	353	0
551.74	1019.8	1015	353	0
548.62	1018.3	1016	353	0
545.78	1016.2	1017	353	0
541.53	1014.3	1018	353	0
539.33	1012.5	1019	353	0
537.37	1010.7	1020	353	0
535.44	1008.2	1021	353	0
533.44	1007.2	1022	353	1
534	1007.5	1023	353	0
540	1012	1024	353	0
998.46	1317.2	2120	865	0
998.04	1312.2	2121	865	0
996.96	1308	2122	865	0
996.77	1304.6	2123	865	0
996.07	1300.4	2124	865	0
995.59	1296	2125	865	0
994.06	1290.5	2126	865	0
993.18	1285.8	2127	865	0
992.5	1282	2128	865	0
